day,hours,type,howGood,solo
1,4,research,ok,false
2,5,preparation,fine,false
3,3,meeting,fine,false
4,3,research,ok,false
5,3,preparation,fine,false
6,4,preparation,ok,false
7,4,preparation,fine,false
8,4,coding,great,false
9,6,coding,awesome,true
10,1,coding,ok,true,
11,4,preparation,ok,true
12,2,coding,fine,true
13,6,coding,fine,true
14,6,coding,fine,false
15,6,coding,great,false
16,6,testing,awesome,false
17,1,preparation,fine,true
18,2,coding,great,true
19,1,coding,fine,true
20,1,coding,meh,true
21,14,coding,great,false
22,4,coding,fine,false
23,4,coding,fine,true
24,15,coding,great,false
25,3,coding,great,true
26,1,coding,great,true
27,1,coding,great,true
28,11,testing,great,false
29,5,coding,great,false
30,14,testing,awesome,false
