;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Description;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
;Public electricity and heat production;24370,00;33130,00;27950,00;29500,00;33600,00;29890,00;42080,00;32890,00;29280,00;25980,00;22750,00;24040,00;24080,00;28760,00;22780,00;19520,00;27280,00;22500,00;20470,00;20440,00;20520,00;16520,00;13170,00;15320,00;11820,00;8890,00;10280,00;7740,00;7800,00;4940,00;3920,00;4970,00;4750,00;1450,00;2000,00;1390,00;970,00;720,00;620,00;150,00;130,00;150,00;150,00;150,00;130,00;120,00
;Public electricity and heat production (Waste incieration);550,00;590,00;630,00;680,00;720,00;810,00;890,00;960,00;970,00;1030,00;1080,00;1140,00;1180,00;1270,00;1290,00;1310,00;1350,00;1410,00;1460,00;1390,00;1350,00;1350,00;1430,00;1520,00;1560,00;1620,00;1610,00;1610,00;1550,00;1610,00;1620,00;1580,00;1550,00;2240,00;2150,00;1910,00;1910,00;1910,00;1920,00;1930,00;1920,00;1920,00;1920,00;1840,00;1720,00;1490,00
;Petroleum refining;910,00;1000,00;1130,00;1150,00;1170,00;1290,00;1420,00;1110,00;970,00;990,00;1000,00;1010,00;980,00;1020,00;1000,00;940,00;980,00;990,00;870,00;880,00;820,00;910,00;970,00;950,00;930,00;1000,00;900,00;960,00;910,00;960,00;920,00;970,00;950,00;910,00;890,00;830,00;780,00;730,00;680,00;640,00;600,00;600,00;600,00;600,00;600,00;600,00
;Other energy industries (oil/gas extraction);530,00;540,00;620,00;630,00;690,00;720,00;860,00;1130,00;1250,00;1360,00;1450,00;1420,00;1520,00;1520,00;1560,00;1600,00;1630,00;1610,00;1600,00;1500,00;1480,00;1420,00;1440,00;1340,00;1320,00;1380,00;1260,00;1310,00;1200,00;1120,00;750,00;760,00;760,00;800,00;1030,00;1100,00;1060,00;1030,00;1050,00;1050,00;1060,00;1050,00;1040,00;940,00;980,00;970,00
;Combustion in manufacturing industry;5840,00;6250,00;6070,00;5980,00;6060,00;6320,00;6400,00;6360,00;6320,00;6370,00;6110,00;6260,00;5860,00;5880,00;6000,00;5710,00;5820,00;5560,00;5010,00;4150,00;4400,00;4300,00;3940,00;3750,00;3690,00;3640,00;3730,00;3870,00;3850,00;3630,00;3560,00;3770,00;3400,00;2890,00;2630,00;2310,00;1930,00;1540,00;1310,00;1130,00;1040,00;1000,00;960,00;920,00;890,00;850,00
;Industry - Other (mobile);40,00;40,00;40,00;40,00;40,00;40,00;30,00;30,00;40,00;30,00;40,00;30,00;30,00;30,00;30,00;30,00;50,00;30,00;30,00;30,00;30,00;40,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;620,00;610,00;610,00;600,00;600,00;580,00;570,00;550,00;550,00;540,00;530,00;520,00;520,00
;Domestic aviation;240,00;220,00;220,00;210,00;220,00;230,00;240,00;240,00;230,00;210,00;180,00;200,00;170,00;160,00;150,00;160,00;170,00;190,00;190,00;180,00;190,00;180,00;160,00;160,00;150,00;140,00;150,00;150,00;150,00;150,00;80,00;90,00;120,00;100,00;110,00;110,00;80,00;70,00;60,00;50,00;40,00;40,00;40,00;40,00;100,00;90,00
;Road transport - Cars;6290,00;6470,00;6510,00;6500,00;6560,00;6700,00;6840,00;7000,00;7060,00;7200,00;7160,00;6990,00;7020,00;7100,00;7140,00;7080,00;7080,00;7250,00;7090,00;6950,00;6960,00;6840,00;6820,00;6820,00;6950,00;7010,00;7020,00;7080,00;7230,00;7190,00;6450,00;6570,00;6530,00;6420,00;6270,00;6070,00;5880,00;5690,00;5450,00;5250,00;4990,00;4760,00;4540,00;4310,00;4090,00;3780,00
;Road transport - Light duty trucks;1750,00;1830,00;1820,00;1860,00;1930,00;1920,00;1930,00;1940,00;1980,00;2060,00;2120,00;2190,00;2190,00;2290,00;2430,00;2570,00;2800,00;3000,00;2980,00;2770,00;2650,00;2390,00;2220,00;2090,00;1980,00;2050,00;2040,00;2060,00;2100,00;2000,00;1860,00;1850,00;1830,00;1830,00;1810,00;1760,00;1720,00;1680,00;1600,00;1540,00;1430,00;1350,00;1260,00;1170,00;1060,00;940,00
;Road transport - Heavy duty trucks;1810,00;1870,00;1840,00;1760,00;1820,00;1790,00;1800,00;1810,00;1810,00;1900,00;1870,00;1910,00;1870,00;1900,00;1930,00;1980,00;2040,00;2050,00;1960,00;1650,00;1790,00;1760,00;1620,00;1590,00;1580,00;1590,00;1620,00;1670,00;1740,00;1700,00;1660,00;1660,00;1560,00;1790,00;1770,00;1520,00;1510,00;1480,00;1360,00;1240,00;1070,00;940,00;820,00;720,00;640,00;590,00
