Brancher,Year,Value
"Agriculture, forestry, and fishing",1990,16687
Households,1990,12275
Industry,1990,8749
Other,1990,4074
Total,1990,87875
Total Industries,1990,75558
"Trade and transport, etc.",1990,16509
Utility services,1990,29540
"Agriculture, forestry, and fishing",1991,16682
Households,1991,12628
Industry,1991,9290
Other,1991,4689
Total,1991,100473
Total Industries,1991,87784
"Trade and transport, etc.",1991,18495
Utility services,1991,38628
"Agriculture, forestry, and fishing",1992,16436
Households,1992,11986
Industry,1992,9387
Other,1992,4521
Total,1992,92497
Total Industries,1992,80421
"Trade and transport, etc.",1992,16552
Utility services,1992,33525
"Agriculture, forestry, and fishing",1993,16371
Households,1993,12753
Industry,1993,9382
Other,1993,4383
Total,1993,97648
Total Industries,1993,84688
"Trade and transport, etc.",1993,19353
Utility services,1993,35198
"Agriculture, forestry, and fishing",1994,16194
Households,1994,12249
Industry,1994,9510
Other,1994,4356
Total,1994,99679
Total Industries,1994,87155
"Trade and transport, etc.",1994,17683
Utility services,1994,39410
"Agriculture, forestry, and fishing",1995,16270
Households,1995,12604
Industry,1995,10301
Other,1995,4257
Total,1995,98246
Total Industries,1995,85642
"Trade and transport, etc.",1995,18863
Utility services,1995,35951
"Agriculture, forestry, and fishing",1996,15903
Households,1996,13089
Industry,1996,10355
Other,1996,4594
Total,1996,111701
Total Industries,1996,98612
"Trade and transport, etc.",1996,19035
Utility services,1996,48726
"Agriculture, forestry, and fishing",1997,15797
Households,1997,12723
Industry,1997,9948
Other,1997,5199
Total,1997,103726
Total Industries,1997,91004
"Trade and transport, etc.",1997,20373
Utility services,1997,39687
"Agriculture, forestry, and fishing",1998,15766
Households,1998,12454
Industry,1998,9764
Other,1998,5243
Total,1998,103754
Total Industries,1998,91299
"Trade and transport, etc.",1998,24335
Utility services,1998,36192
"Agriculture, forestry, and fishing",1999,15373
Households,1999,12699
Industry,1999,9800
Other,1999,6140
Total,1999,100554
Total Industries,1999,87855
"Trade and transport, etc.",1999,23295
Utility services,1999,33246
"Agriculture, forestry, and fishing",2000,15440
Households,2000,12555
Industry,2000,9677
Other,2000,5774
Total,2000,99970
Total Industries,2000,87415
"Trade and transport, etc.",2000,26563
Utility services,2000,29959
"Agriculture, forestry, and fishing",2001,15459
Households,2001,12834
Industry,2001,9749
Other,2001,5854
Total,2001,101159
Total Industries,2001,88325
"Trade and transport, etc.",2001,25690
Utility services,2001,31575
"Agriculture, forestry, and fishing",2002,15401
Households,2002,12734
Industry,2002,9178
Other,2002,5953
Total,2002,102590
Total Industries,2002,89857
"Trade and transport, etc.",2002,27206
Utility services,2002,32119
"Agriculture, forestry, and fishing",2003,15131
Households,2003,12997
Industry,2003,9149
Other,2003,6159
Total,2003,112372
Total Industries,2003,99375
"Trade and transport, etc.",2003,31362
Utility services,2003,37573
"Agriculture, forestry, and fishing",2004,15018
Households,2004,12980
