"Brancher","Year","Value"
"Total","1990",87875
"Total","1991",100473
"Total","1992",92497
"Total","1993",97648
"Total","1994",99679
"Total","1995",98246
"Total","1996",111701
"Total","1997",103726
"Total","1998",103754
"Total","1999",100554
"Total","2000",99970
"Total","2001",101159
"Total","2002",102590
"Total","2003",112372
"Total","2004",108346
"Total","2005",112535
"Total","2006",130295
"Total","2007",127757
"Total","2008",122052
"Total","2009",115798
"Total","2010",116647
"Total","2011",115322
"Total","2012",108377
"Total","2013",106517
"Total","2014",100921
"Total","2015",105187
"Total","2016",111727
"Total","2017",112360
"Total","2018",112867
"Total","2019",109488
"Total","2020",98374
"Total","2021",109473
"Total","2022",100407
"Total","2023",98338
"Households","1990",12275
"Households","1991",12628
"Households","1992",11986
"Households","1993",12753
"Households","1994",12249
"Households","1995",12604
"Households","1996",13089
"Households","1997",12723
"Households","1998",12454
"Households","1999",12699
"Households","2000",12555
"Households","2001",12834
"Households","2002",12734
"Households","2003",12997
"Households","2004",12980
"Households","2005",13213
"Households","2006",13313
"Households","2007",13690
"Households","2008",13682
"Households","2009",13364
"Households","2010",13756
"Households","2011",12999
"Households","2012",12676
"Households","2013",12702
"Households","2014",12102
"Households","2015",12892
"Households","2016",13175
"Households","2017",12920
"Households","2018",12786
"Households","2019",12346
"Households","2020",10879
"Households","2021",10893
"Households","2022",9815
"Households","2023",9570
"Total Industries","1990",75558
"Total Industries","1991",87784
"Total Industries","1992",80421
"Total Industries","1993",84688
"Total Industries","1994",87155
"Total Industries","1995",85642
"Total Industries","1996",98612
"Total Industries","1997",91004
"Total Industries","1998",91299
"Total Industries","1999",87855
"Total Industries","2000",87415
"Total Industries","2001",88325
"Total Industries","2002",89857
"Total Industries","2003",99375
"Total Industries","2004",95366
"Total Industries","2005",99322
"Total Industries","2006",116983
"Total Industries","2007",114067
"Total Industries","2008",108370
"Total Industries","2009",102435
"Total Industries","2010",102891
"Total Industries","2011",102323
"Total Industries","2012",95701
"Total Industries","2013",93815
"Total Industries","2014",88819
"Total Industries","2015",92295
"Total Industries","2016",98552
"Total Industries","2017",99440
"Total Industries","2018",100081
"Total Industries","2019",97142
"Total Industries","2020",87495
"Total Industries","2021",98580
"Total Industries","2022",90592
"Total Industries","2023",88769
"Agriculture, forestry, and fishing","1990",16687
"Agriculture, forestry, and fishing","1991",16682
"Agriculture, forestry, and fishing","1992",16436
"Agriculture, forestry, and fishing","1993",16371
"Agriculture, forestry, and fishing","1994",16194
"Agriculture, forestry, and fishing","1995",16270
"Agriculture, forestry, and fishing","1996",15903
"Agriculture, forestry, and fishing","1997",15797
"Agriculture, forestry, and fishing","1998",15766
"Agriculture, forestry, and fishing","1999",15373
"Agriculture, forestry, and fishing","2000",15440
"Agriculture, forestry, and fishing","2001",15459
"Agriculture, forestry, and fishing","2002",15401
"Agriculture, forestry, and fishing","2003",15131
"Agriculture, forestry, and fishing","2004",15018
"Agriculture, forestry, and fishing","2005",14812
"Agriculture, forestry, and fishing","2006",14544
"Agriculture, forestry, and fishing","2007",14625
"Agriculture, forestry, and fishing","2008",14499
"Agriculture, forestry, and fishing","2009",14270
"Agriculture, forestry, and fishing","2010",14238
"Agriculture, forestry, and fishing","2011",14222
"Agriculture, forestry, and fishing","2012",14009
"Agriculture, forestry, and fishing","2013",14024
"Agriculture, forestry, and fishing","2014",13976
"Agriculture, forestry, and fishing","2015",13909
"Agriculture, forestry, and fishing","2016",14100
"Agriculture, forestry, and fishing","2017",14042
