"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","I alt",87875,100473,92497,97648,99679,98246,111701,103726,103754,100554,99970,101159,102590,112372,108346,112535,130295,127757,122052,115798,116647,115322,108377,106517,100921,105187,111727,112360,112867,109488,98374,109473,100407,98338
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","Husholdninger",12275,12628,11986,12753,12249,12604,13089,12723,12454,12699,12555,12834,12734,12997,12980,13213,13313,13690,13682,13364,13756,12999,12676,12702,12102,12892,13175,12920,12786,12346,10879,10893,9815,9570
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","Brancher i alt",75558,87784,80421,84688,87155,85642,98612,91004,91299,87855,87415,88325,89857,99375,95366,99322,116983,114067,108370,102435,102891,102323,95701,93815,88819,92295,98552,99440,100081,97142,87495,98580,90592,88769
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","A Landbrug, skovbrug og fiskeri",16687,16682,16436,16371,16194,16270,15903,15797,15766,15373,15440,15459,15401,15131,15018,14812,14544,14625,14499,14270,14238,14222,14009,14024,13976,13909,14100,14042,13916,13743,13884,13710,13519,13311
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","B Råstofindvinding",1447,1885,2009,1931,1971,1869,2033,2613,2555,3390,3073,3111,3076,3014,3162,2978,2932,2828,2646,2331,2417,2169,2103,2021,1966,2101,1953,1978,1793,1650,1194,1210,1192,1215
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","C Industri",8749,9290,9387,9382,9510,10301,10355,9948,9764,9800,9677,9749,9178,9149,9094,8236,8469,8332,7595,6444,6514,6804,6427,6012,5865,5980,6201,6552,6499,6455,6427,6725,6397,5740
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","D_E Forsyningsvirksomhed",29540,38628,33525,35198,39410,35951,48726,39687,36192,33246,29959,31575,32119,37573,31899,28756,36484,31944,29936,30132,32016,28791,25679,28710,24516,21484,23691,23353,22383,19455,18856,22383,20555,19431
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","F Bygge og anlæg",911,946,918,787,799,854,905,943,1028,1101,1115,1143,1261,1417,1454,1507,1559,1749,1631,1441,1568,1481,1497,1512,1526,1563,1618,1649,1678,1630,1681,1681,1718,1728
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","G_I Handel og transport mv.",16509,18495,16552,19353,17683,18863,19035,20373,24335,23295,26563,25690,27206,31362,32792,40923,50998,52471,50165,45854,44173,47012,44099,39642,39213,45478,49242,50011,52008,52456,43636,50898,45452,45589
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","J Information og kommunikation",160,150,145,118,123,125,136,138,139,135,135,125,114,100,108,119,115,128,139,122,118,108,105,103,92,94,97,95,89,84,83,99,87,82
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","K Finansiering og forsikring",92,84,77,62,55,52,60,64,55,52,58,56,68,72,73,78,80,79,82,75,71,66,63,60,55,55,63,60,60,55,54,57,54,51
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","LA Ejendomshandel og udlejning af erhvervsejendomme",46,47,49,38,40,39,50,58,56,67,75,76,80,94,85,88,89,108,90,81,106,91,113,106,93,97,80,84,82,76,76,87,77,77
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","LB Boliger",53,51,47,45,37,35,34,31,30,23,22,23,25,27,28,22,28,22,26,29,32,27,41,40,40,42,41,45,41,42,40,46,44,45
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","M_N Erhvervsservice",267,269,252,238,234,231,257,271,278,289,308,350,383,436,469,489,494,534,489,450,454,395,424,433,400,404,405,411,430,431,449,483,462,462
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","O_Q Offentlig administration, undervisning og sundhed",924,1089,858,1006,948,913,943,901,925,905,803,782,755,795,971,1093,975,1034,881,1013,987,1004,976,993,934,937,892,993,932,907,953,1026,871,868
"Drivhusgasser i alt, inkl. CO2 fra afbrænding af biomasse","R_S Kultur, fritid og anden service",174,168,166,158,149,139,176,180,177,178,185,188,191,204,215,220,216,212,191,192,196,154,165,159,143,150,168,168,172,158,162,176,165,169
