"Brancher","Year","Value"
"Total","1990",78340.00
"Total","1991",88370.00
"Total","1992",83460.00
"Total","1993",84400.00
"Total","1994",87870.00
"Total","1995",85220.00
"Total","1996",97520.00
"Total","1997",88420.00
"Total","1998",84410.00
"Total","1999",81920.00
"Total","2000",77360.00
"Total","2001",78400.00
"Total","2002",78950.00
"Total","2003",83660.00
"Total","2004",77480.00
"Total","2005",72950.00
"Total","2006",81020.00
"Total","2007",76500.00
"Total","2008",71450.00
"Total","2009",67880.00
"Total","2010",67050.00
"Total","2011",61060.00
"Total","2012",55880.00
"Total","2013",57260.00
"Total","2014",53250.00
"Total","2015",49560.00
"Total","2016",52550.00
"Total","2017",50010.00
"Total","2018",51620.00
"Total","2019",46770.00
"Total","2020",43870.00
"Total","2021",43750.00
"Total","2022",41660.00
"Total","2023",37930.00
"Total","2024",37500.00
"Total","2025",35240.00
"Total","2026",33750.00
"Total","2027",32430.00
"Total","2028",30970.00
"Total","2029",26930.00
"Total","2030",25350.00
"Total","2031",24190.00
"Total","2032",23130.00
"Total","2033",22220.00
"Total","2034",21540.00
"Total","2035",20500.00
